id_master;id_penjualan;tanggal_penjualan;jenis_transaksi;status_transaksi;id_customer;nama_customer;alamat_customer;telepon_customer;email_customer;id_karyawan;nama_karyawan;jabatan_karyawan;id_produk;nama_produk;kategori_produk;ukuran_produk;nama_supplier;jumlah_produk;harga_satuan;subtotal;alamat_pengiriman;kota_pengiriman;status_pengiriman;no_resi;ongkir;metode_pembayaran;status_pembayaran;jumlah_bayar
1;1;15/01/2025;Offline;Selesai;1;Ali Pratama;Jakarta;819000001;ali@mail.com;1;Andi;Kasir;1;Kaos Polos;Kaos;M;PT Sumber Textile;2;75000.00;150000.00;NULL;NULL;NULL;NULL;NULL;Cash;Lunas;150000.00
2;2;16/01/2025;Online;Diproses;2;Bima Saputra;Bandung;819000002;bima@mail.com;NULL;NULL;NULL;2;Kemeja Formal;Kemeja;L;CV Kain Nusantara;1;150000.00;150000.00;Bandung;Bandung;Dikirim;JNE202501002;20000.00;Transfer;Lunas;200000.00
3;3;17/01/2025;Offline;Selesai;3;Cindy Lestari;Bekasi;819000003;cindy@mail.com;2;Budi;Kasir;3;Jaket Hoodie;Jaket;XL;PT Fashion Indo;1;200000.00;200000.00;NULL;NULL;NULL;NULL;NULL;Cash;Lunas;180000.00
4;4;18/01/2025;Online;Dikirim;4;Doni Kurniawan;Depok;819000004;doni@mail.com;NULL;NULL;NULL;4;Sweater Rajut;Sweater;L;CV Rajut Jaya;2;175000.00;350000.00;Depok;Depok;Diproses;JNT202501004;18000.00;QRIS;Lunas;220000.00
5;5;19/01/2025;Offline;Selesai;5;Evi Handayani;Bogor;819000005;evi@mail.com;3;Citra;Admin;5;Polo Shirt;Polo;M;PT Garment Sejahtera;3;125000.00;375000.00;NULL;NULL;NULL;NULL;NULL;Cash;Lunas;175000.00
6;6;20/01/2025;Online;Diproses;6;Farah Azzahra;Tangerang;819000006;farah@mail.com;NULL;NULL;NULL;6;Jaket Denim;Jaket;XL;PT Textile Makmur;1;250000.00;250000.00;Tangerang;Tangerang;Dikirim;SCP202501006;22000.00;Transfer;Lunas;250000.00
7;7;21/01/2025;Offline;Selesai;7;Gina Amelia;Jakarta;819000007;gina@mail.com;4;Dewi;Gudang;7;Dress Wanita;Dress;FS;CV Cotton Prima;1;220000.00;220000.00;NULL;NULL;NULL;NULL;NULL;Cash;Lunas;220000.00
8;8;22/01/2025;Online;Dikirim;8;Hadi Santoso;Bandung;819000008;hadi@mail.com;NULL;NULL;NULL;8;Celana Jeans;Jeans;L;PT Denim Indonesia;2;180000.00;360000.00;Bandung;Bandung;Selesai;JNE202501008;20000.00;COD;Lunas;180000.00
9;9;23/01/2025;Offline;Selesai;9;Ira Wulandari;Bekasi;819000009;ira@mail.com;5;Eko;Manajer;9;Celana Chino;Chino;L;CV Baju Anak;2;160000.00;320000.00;NULL;NULL;NULL;NULL;NULL;Cash;Lunas;160000.00
10;10;24/01/2025;Online;Diproses;10;Jani Maulana;Depok;819000010;jani@mail.com;NULL;NULL;NULL;10;Rok Mini;Rok;FS;PT Urban Wear;1;120000.00;120000.00;Depok;Depok;Dikirim;JNT202501010;18000.00;Transfer;Lunas;120000.00
11;11;25/01/2025;Offline;Selesai;11;Kiki Rahman;Bogor;819000011;kiki@mail.com;6;Fajar;Kasir;11;Hoodie Oversize;Hoodie;OS-XL;PT Casual Wear;1;210000.00;210000.00;NULL;NULL;NULL;NULL;NULL;Cash;Lunas;210000.00
12;12;26/01/2025;Online;Dikirim;12;Lukman Hakim;Solo;819000012;lukman@mail.com;NULL;NULL;NULL;12;Tank Top;Tank Top;S;CV Trend Mode;3;60000.00;180000.00;Solo;Solo;Diproses;POS202501012;15000.00;QRIS;Lunas;60000.00
13;13;27/01/2025;Offline;Selesai;13;Mega Puspita;Yogyakarta;819000013;mega@mail.com;7;Gilang;Admin;13;Crop Top;Crop Top;S;PT Style Modern;2;90000.00;180000.00;NULL;NULL;NULL;NULL;NULL;Cash;Lunas;90000.00
14;14;28/01/2025;Online;Diproses;14;Nando Prڍatama;Semarang;819000014;nando@mail.com;NULL;NULL;NULL;14;Vest Casual;Vest;M;CV Daily Outfit;1;130000.00;130000.00;Semarang;Semarang;Dikirim;JNE202501014;20000.00;Transfer;Lunas;130000.00
15;15;29/01/2025;Offline;Selesai;15;Ocha Permata;Surabaya;819000015;ocha@mail.com;8;Hana;Gudang;15;Overall Denim;Overall;L;PT Fashion Global;1;260000.00;260000.00;NULL;NULL;NULL;NULL;NULL;Cash;Lunas;260000.00
16;16;30/01/2025;Online;Dikirim;16;Putri Ayu;Malang;819000016;putri@mail.com;NULL;NULL;NULL;16;Cardigan;Cardigan;M;CV Ready Stock;2;140000.00;280000.00;Malang;Malang;Dikirim;SCP202501016;22000.00;COD;Lunas;140000.00
17;17;31/01/2025;Offline;Selesai;17;Raka Wijaya;Jakarta;819000017;raka@mail.com;9;Indra;Kasir;17;Outer Casual;Outer;L;PT Premium Wear;1;190000.00;190000.00;NULL;NULL;NULL;NULL;NULL;Cash;Lunas;190000.00
18;18;01/02/2025;Online;Diproses;18;Sinta Maharani;Bandung;819000018;sinta@mail.com;NULL;NULL;NULL;18;Jogger Pants;Jogger;L;CV Local Brand;2;155000.00;310000.00;Bandung;Bandung;Selesai;JNT202501018;18000.00;Transfer;Lunas;155000.00
19;19;02/02/2025;Offline;Selesai;19;Taufik Hidayat;Bekasi;819000019;taufik@mail.com;10;Joko;Admin;19;Short Pants;Short Pants;M;PT Young Fashion;3;110000.00;330000.00;NULL;NULL;NULL;NULL;NULL;Cash;Lunas;110000.00
20;20;03/02/2025;Online;Dikirim;20;Vina Lestari;Depok;819000020;vina@mail.com;NULL;NULL;NULL;20;Blazer Formal;Blazer;L;CV Smart Textile;1;300000.00;300000.00;Depok;Depok;Diproses;JNE202501020;20000.00;QRIS;Lunas;300000.00
